nombre,direccion,descripcion,redesSociales,web,mail,telefono,imagen,tipo,diasYHorarios,latitud,longitud,habilitado
Cine Ocean,Calle 83 Nº 450,,IG: oceancines,,,(02262) 435672 | 15330340,https://scontent.fnec1-1.fna.fbcdn.net/v/t39.30808-6/304900895_425686842886190_5329770461750789368_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=1d70fc&_nc_ohc=eplCuhpKPvUQ7kNvwE3muJo&_nc_oc=AdrmkUWQdDw-1cHMDAvQF_6s9td5AFx3a7RdmHj_6UtYULRWigvD8hpK_-jFrbvxOmw&_nc_zt=23&_nc_ht=scontent.fnec1-1.fna&_nc_gid=OsAUNf_LX0rQ682ekSPHWw&_nc_ss=7a389&oh=00_Af3IvqsG_wC3FvIG3MAz84XkivPUUCsliEzgRhUE8bqdAw&oe=69DDE272,cines y teatros,De martes a viernes. fin de semana y feriados,-38.575000,-58.735000,true
Teatro Toledo,Av. 75 y Av. 58,,FB: teatro toledo | IG: teatro_toledo,,teatrotoledo@hotmail.com,(02262) 15405800,https://scontent.fnec1-1.fna.fbcdn.net/v/t39.30808-6/304900895_425686842886190_5329770461750789368_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=1d70fc&_nc_ohc=eplCuhpKPvUQ7kNvwE3muJo&_nc_oc=AdrmkUWQdDw-1cHMDAvQF_6s9td5AFx3a7RdmHj_6UtYULRWigvD8hpK_-jFrbvxOmw&_nc_zt=23&_nc_ht=scontent.fnec1-1.fna&_nc_gid=OsAUNf_LX0rQ682ekSPHWw&_nc_ss=7a389&oh=00_Af3IvqsG_wC3FvIG3MAz84XkivPUUCsliEzgRhUE8bqdAw&oe=69DDE272,cines y teatros,ver programacion en planeta entrada o novedades por fb,-38.576000,-58.736000,true
Teatro París ,Av. 59 Nº 2868,, FB: Cine Teatro Paris Necochea | IG: cineteatroparisnecochea,www.cineteatroparis.com.ar,info@cineteatroparis.com.ar,(02262) 15647459,https://scontent.fnec1-1.fna.fbcdn.net/v/t39.30808-6/304900895_425686842886190_5329770461750789368_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=1d70fc&_nc_ohc=eplCuhpKPvUQ7kNvwE3muJo&_nc_oc=AdrmkUWQdDw-1cHMDAvQF_6s9td5AFx3a7RdmHj_6UtYULRWigvD8hpK_-jFrbvxOmw&_nc_zt=23&_nc_ht=scontent.fnec1-1.fna&_nc_gid=OsAUNf_LX0rQ682ekSPHWw&_nc_ss=7a389&oh=00_Af3IvqsG_wC3FvIG3MAz84XkivPUUCsliEzgRhUE8bqdAw&oe=69DDE272,cines y teatros,consultar cartelera y novedades en redes.,-38.577000,-58.737000,true
"Teatro Municipal ""Luis Sandrini""",Calle 54 Nº 3076,,FB: Teatro Municipal Luis Sandrini | IG: teatroluissandrini,,,(02262) 425705 | 15593267,,cines y teatros,consultar actividades en ig.,-38.578000,-58.738000,true
Bingo Golden Palace,Calle 64 y calle 61,,FB: Bingo Golden Palace | IG: bingogoldenpalace,www.goldenpalacebingo.com.ar,,(02262) 427918 | 432222,,casino y bingo,sala de tragamonedas: todos los dias de 10 a 04 horas | bingo de cartones: todos los dias de 17 a 21 horas | barra: todos los dias desde 18 horas.,-38.579000,-58.739000,true
Casino Necochea,Calle 4 y Av. 91,,,,,,,casino y bingo,todos los dias de 21 a 02.30 horas,-38.580000,-58.740000,true
"Casa Museo del Faro "" Diaz Llanos""",Calle 535 Nº 542,,FB: Museo Casa del Faro | IG: casadelfaromuseo_galeriadearte,,quequencultura@yahoo.com.ar,(02262) 451280 | 15468050,,museos,solo fines de semana. consultar previamente,-38.581000,-58.741000,true
Centro Cultural Necochea y Biblioteca Popular Andres Ferreyra,Calle 54 Nº 3062,,FB: centro cultural necochea | IG: centroculturalnecochea,,centroculturalnecochea@gmail.com,(02262) 424117 | 424806,,museos,de lunes a viernes de 14 a 20 horas. consultar en ig programacio.,-38.582000,-58.742000,true
"Centro Cultural y Biblioteca Publica y Popular "" Jose Hernandez "" de Juan N. Fernandez",Calle 35 Nº 1367 Juan N. Fernandez,,FB: centro cultural y biblioteca publica y popular jose hernandez | IG: bibliotecaJNF,,biblioteca@yahoo.com.ar,(02262) 15339693,,museos,todos los dias de 10 a 12 horas y de 15 a 20 horas.,-38.583000,-58.743000,true
Estacion Hidrobiologica Puerto Quequen,Av. Almirante Brown y calle 520,,FB: estacion hidrobiologica puerto quequen | IG: ehpq2020,,,(02262) 15501654 | 15623936,,museos,lunes a viernes de 10 a 16 horas.,-38.584000,-58.744000,true
Museo de Ciencias Naturales ,Av. 10 y calle 93,,FB: area de museos necochea | IG: areademuseosnecochea,,areademuseosnecochea@hotmail.com,(02262) 425159,,museos,"lunes, miercoles y viernes de 09 a 12 horas | martes y jueves de 14 a 15 horas.",-38.585000,-58.745000,true
"Museo Historico "" Egisto Ratti y Archivo Historico Municipal"" ",Av. 10 y calle 93,,FB: area de museos necochea | IG: areademuseosnecochea,,areademuseosnecochea@hotmail.com,(02262) 425159,,museos,"lunes, miercoles y viernes de 09 a 12 horas | martes y jueves de 14 a 15 horas.",-38.586000,-58.746000,true
"Museo Municipal del Grabado "" Lino Enea Spilimbergo""",Calle 54 Nº 3062,,"FB: museo del grabado "" lino spilimbergo """,,museograbneco@hotmail.com,(02262) 424117,,museos,lunes a viernes de 14 a 20 horas,-38.587000,-58.747000,true
Parada 1: Alquiler de Caballos para Paseo,Av. 10 y calle 117,,FB: los alzanes alquiler de caballos,,,(02262) 15518531,,excursiones | alquiler de caballos | alquiler de rodados,cabalgatas guiadas. consultar previamente,-38.588000,-58.748000,true
Carrilindos,Av. 10 y Av. Pinolandia,,,,,(02262) 15567410,,excursiones | alquiler de caballos | alquiler de rodados,"sabado,domingo y feriados de 13 a 18 horas. dias de semana reservar previamente",-38.589000,-58.749000,true
Alquiler de Bicicletas,Av. 10 y Av. Pinolandia,,,,,(02262) 15567410,,excursiones | alquiler de caballos | alquiler de rodados,"sabado,domingo y feriados de 13 a 18 horas. dias de semana reservar previamente",-38.590000,-58.750000,true
Motomania,Av. 10 y Av. 91 | Av 10 y Av Pinolandia,,FB: motomania necochea | IG: motomania.neco,,,(02262) 15637942 | 15567410,,actividades 4x4,consultar previamente.,-38.591000,-58.751000,true
Necotata,,,FB: travesia necotata | IG: travesiasnecotata,,mousseigne@telpin.com.ar,(02262) 15477106,,actividades 4x4,consultar previamente.,-38.592000,-58.752000,true
Aeroclub General Necochea,"Aero Club Necochea RP 86 Km 12,5",,FB: aero club necochea | IG: aeroclub.necochea,,,(02262) 15645930,,actividades aereas,consultar previamente.,-38.593000,-58.753000,true
Parapente,,,FB: parapente necochea,,,(02262) 15503048,,actividades aereas,vuelos bautismos desde diciembre,-38.594000,-58.754000,true
La Botera del Club Del Valle,Calle 66 y RP 86,,IG: la botera club del valle | IG: labotera.clubdelvalle,,,(02262) 15663256 (sofia diaz) | (02262) 15240610 (contacto para alquiler) | (02262) 15663259 ( contacto para actividades),,actividades nauticas,"reservas previamente por telefono | servicio de alquiler de canoas, tablas stand up | todos los dias de 15 a 19 horas (horarios sujetos a condiciones climaticas)",-38.595000,-58.755000,true
Coco Escuela de Surf,Av. 502 Nº 1376,,IG: surftrips.coco,,,(02262) 15540697,,actividades nauticas,reservas previamente al whatsapp,-38.596000,-58.756000,true
Shaka - Escuela de Surf y Surf Trip,Escollera de Quequen,,IG: shakaescueladesurf | shakasurftrip,,,(02262) 15552064,,actividades nauticas,reservas previamente al whatsapp,-38.597000,-58.757000,true
Escuela de Surf y Competiciones Juan Di Neno,Av. 2 y Parador Neptuno | Paradiso 32 Nº 4976,,FB: escuela de surf juan di nenno | IG: escuela_de_surf_juan_di_nenno,,,(02262) 15408687 | 15635490,,actividades nauticas,reservas previamente al whatsapp,-38.598000,-58.758000,true
Escuela de Surf Cosmos,Av. 502 y calle 529,,IG: escueladesurf.cosmos,,,(02262) 15615270,,actividades nauticas,reservas previamente al whatsapp,-38.599000,-58.759000,true
Free Surf Necochea,Av. 2 y Pinos del Japon,,IG: necocheasurfree | FB: necocheasurfree,,,(02262) 15635052,,actividades nauticas,abiertos desde octubre hasta mayo,-38.600000,-58.760000,true
Lago de los Cines,Av. 2 y Av Pinolandia,,IG: lagodeloscisnesnecochea | FB: lago de los cisnes necochea | X: lago de los cisnes necochea,,,(02262) 15576407,,actividades nauticas,Todos los dias de 09 a 19 horas,-38.601000,-58.761000,true
Orishas Sup Rio Quequen - Stand Up Paddle,Paseo de la Ribera,,IG: orishas_sup,,,(02262) 15300793,,actividades nauticas,reservar previamente al whatsapp,-38.602000,-58.762000,true
Puro Surf,Calle 133 Nº 1633,,IG: purosurf.necochea,,,(02262) 15663814,,actividades nauticas,de 10 a 16 horas | reservar previamente | clases y clinica de surf,-38.603000,-58.763000,true
Complejo las Cascadas,Acceso por camino de la ribera y RP 86,,,,,(02262) 15326069,,paraje,contactarse previamente,-38.604000,-58.764000,true
Balneario Puente Blanco,RP 86 Km 70,,FB: balneario puente blanco,,,(02262) 15409737,,paraje,contactarse previamente,-38.605000,-58.765000,true
Medano Blanco Termas del Campo,A 45 Km por Av. 98,,IG: termasdelcampo | FB: termas del campo,www.termasdelcampo.com,info@medanoblanco.com,(02262) 42395 | 427087 | 15631722,,otras alternativas,de miercoles a domingo de 10 a 17 horas | oficiina av 79 nº 261 de lunes a viernes de 08 a 18 horas y sabado a domingo de 08 a 17 horas,-38.606000,-58.766000,true
Laguna Tupungato,"Rn 228 Km 15,5",,FB: laguna el tupungato | IG: lagunaeltupungato,,,(02262) 15562860,,otras alternativas,de miercoles a domingo de 08 a 18.30 horas,-38.607000,-58.767000,true
Nerio Bognani,,,,,,(02262) 15316773,,otras alternativas,consutar previamente,-38.608000,-58.768000,true
Apiturismo Quequen,Calle 578 y calle 569,,FB: apiturismo quequen | IG: apiturismoquequen,,,(02262) 15564377,,otras alternativas,martes de 09 a 12 horas | jueves de 09 a 12 y de 16.30 a 19 horas | viernes de 09 a 12 horas | sabado de 09 a 12 horas,-38.609000,-58.769000,true
Chapelco Bowling,Calle 83 Nº 243,,IG: chapelco_bowling,,,,,otras alternativas,todo el año solo los fin de semana de 18 a 23.30 horas,-38.610000,-58.770000,true
Delirio Patio de Juegos,Calle 83 Nº 243,,FB: delirio patio de juegos | IG: deliriopatiodejuegos,,,(02262) 15570237,,otras alternativas,salon de fiestas infantiles | contactarse previamente,-38.611000,-58.771000,true
Get Out Salas de Escape,Calle 83 Nº 345,,IG: getout_saladeescape,,,(02262) 15314212,,otras alternativas,"de marzo a diciembre sabado, domingo y feriados de 16 a 21 horas | dias de semana consultar previamente",-38.612000,-58.772000,true
Enterprise Center Park,Av. 2 frente a lago de los cisnes,,IG: enterprise_centerpark,,,(011) 1536145661,,otras alternativas,fin de semana y feriados segun condicion climatica,-38.613000,-58.773000,true
Marcha Nordica Quequen,,,IG: marchanordicaquequen,,,(02262) 15468316,,otras alternativas,lunes: 07.30 horas parque - 18 horas ribera | martes: 07.30 horas monte pasubio - 18 horas parque | miercoles: 07.30 horas parque - 18 horas ribera | jueves: 07.30 horas monte pasubio | viernes: 18 horas parque | sabado: 09 horas parque,-38.614000,-58.774000,true
Necochea Golf Club,Av Armada Argentina 7631,,,www.necocheagolfclub.com.ar,golfnecochea@hotmail.com | golfclubnecochea@gmail.com,(02262) 15412376,,otras alternativas,lunes a domingo de 07.30 a 19.00 horas,-38.615000,-58.775000,true
Paintball,Club Nautico Necochea,,IG: redballpaintball,,,(02262) 15501627,,otras alternativas,todos los dias de 10 a 20 horas,-38.616000,-58.776000,true
Skatepark Plaza ( Asociacion de Skate Necochea y Quequen - ASKNQ),Calle 143 bis entre calle 46 y 48,,FB: asocicacion de skate necochea y quequen,,,,,otras alternativas,,-38.617000,-58.777000,true
Ocean Travel,Calle 68 Nº 2470,,IG: ocean_travel_ok,,,(02262) 15364355,,otras alternativas,contactarse previamente,-38.618000,-58.778000,true
Tren del Parque,Av Pinolandia Nº 405,,IG: trencito_del_parque,,,(02262) 15641503,,otras alternativas,de diciembre a febrero,-38.619000,-58.779000,true
