nombre,direccion,telefono,redesSociales,web,mail,mascotas,periodoApertura,tipo,imagen,latitud,longitud,habilitado
ÑIKEN,Calle 87 Nº 335,(02262) 43-2323 | 43-2929,FB: niken_neco IG: hotel.niken,www.niken.com,reservas@niken.com.ar / nikenrecepcion@gmail.com,NO,Todo el año,4 estrellas,https://definicion.de/wp-content/uploads/2010/07/alojamiento-1.jpg,-38.58100539211659, -58.73337473645911,true
PRESIDENTE,Calle 4 Nº 4040,(02262) 423800,FB: hotel presidente necochea,www.presinec.com.ar,info@presinec.com.ar,NO,Diembre a Marzo,4 estrellas,https://definicion.de/wp-content/uploads/2010/07/alojamiento-1.jpg,-38.5750000,-58.7350000,true
BAHIA,Diagonal San Martin Nº 731,(02262) 15558749,,www.necocheanet.com.ar/hotelbahia,hotelbahia@necocheanet.com.ar,SI. Pequeñas,Diciembre a febrero,3 estrellas,https://definicion.de/wp-content/uploads/2010/07/alojamiento-1.jpg,-38.5720000,-58.7320000,true
ESPAÑA,Calle 89 Nº 215,(02262) 422896,FB: hotel españa necochea IG: espana_hotel,www.hotel-espana.com.ar,info.hotel.espana@gmail.com,NO,Todo el año,3 estrellas,https://definicion.de/wp-content/uploads/2010/07/alojamiento-1.jpg,-38.5710000,-58.7310000,true
HORIZONTE,Calle 85 Nº 383,(02262) 423344 | 430254,FB: hotel horizonte necochea,www.hotelhorizontenecochea.com,hhorizonte@hotmail.com,NO,Noviembre a marzo,3 estrellas,https://definicion.de/wp-content/uploads/2010/07/alojamiento-1.jpg,-38.5730000,-58.7330000,true
LEON,Av. 59 Nº 229,(02262) 424800 | 430254,FB: hotel leon necochea / IG: hotelleon.necochea,www.hotel-leon.com.ar,consultashotel.leon@gmail.com,Solo si es por una discacidad,Todo el año,3 estrellas,https://definicion.de/wp-content/uploads/2010/07/alojamiento-1.jpg,-38.5740000,-58.7340000,true
LOS MIRASOLES,Calle 4 Nº 3943,(02262) 521832,,,mirasoles.necocehea@gmail.com,NO,Todo el año,3 estrellas,https://definicion.de/wp-content/uploads/2010/07/alojamiento-1.jpg,-38.5760000,-58.7360000,true
MAR Y CIELO,Av. 79 Nº 369,(02262) 15633580,FB: hotel mar y cielo necochea | IG: hotelmarycielonecochea,www.hotelmarycielo.com.ar,consultas@hotelmarycielo.com.ar / hotelmarycielonecochea@gmail.com,SI ,Todo el año,3 estrellas,https://definicion.de/wp-content/uploads/2010/07/alojamiento-1.jpg,-38.5770000,-58.7370000,true
MILESI,Av. 79 Nº 373,(02262) 425387 | 15547157,IG: hotelmilesi,,milesihotel@gmail.com,NO,Diciembre a marzo,3 estrellas,https://definicion.de/wp-content/uploads/2010/07/alojamiento-1.jpg,-38.5780000,-58.7380000,true
MODERNO,Av. 79 Nº 311,(02262) 522049 | 15580730,IG: hotelmodernonecochea,www.hotel-moderno.com.ar,info@hotel-moderno.com.ar,NO,Todo el año,3 estrellas,https://definicion.de/wp-content/uploads/2010/07/alojamiento-1.jpg,-38.5790000,-58.7390000,true
PERUGIA,Calle 81 Nº 288,(02262) 15303380,IG: perugiahotel,,hotelperugianecochea@gmail.com,NO,Todo el año,3 estrellas,https://definicion.de/wp-content/uploads/2010/07/alojamiento-1.jpg,-38.5800000,-58.7400000,true
SAN MARTIN,Calle 6 Nº 4198,(02262) 15482785,FB: hotel san martin neco | IG: hotelsanmartinneco,,hotelsanmartinneco@gmail.com,NO,Todo el año,3 estrellas,https://definicion.de/wp-content/uploads/2010/07/alojamiento-1.jpg,-38.5810000,-58.7410000,true
