nombre,direccion,telefono,redesSociales,servicios,mail,accesibilidad,fecha_desde_hasta,imagen,latitud,longitud,habilitado
Atlántico,Av. 2 y calle 85,(02262) 15502263,FB: BalnearioAtlantico86 | IG: balneario_atlantico,Unidades de sombra | Piscina | Solarium | Masajes | Colonia de vacaciones | Kiosco | Juegos infantiles | Restaurante | Wifi | Estacionamiento,balnearioatlantico@hotmail.com,Baños | Silla anfibia,desde mediados de noviembre | hasta finales de marzo,https://www.balnearioatlantico.com.ar/images/fulls/04.jpg,-38.575000,-58.735000,true
Complejo Playa Morena,Av. 2 Nº 4015,(011) 1553371371,FB: Complejo playa morena necochea | IG: complejo.playa.morena ,Carpas / Sombrillas | Juego para niños | Piscina | Chiringo | Kiosco | Cancha de voley | Yoga | Gym | Espectaculos en vivo | Wifi | ,info@complejoplayamorena.com.ar | complejoplayamorena@gmail.com,Baños y duchas | sillas anfibias ,desde mediados de noviembre | hasta mediados de marzo,,-38.576000,-58.736000,true
Egeon,Av. 2 Nº 3899,(02262) 15415989,FB: balneario egeon | IG: balnearioegeon,Unidades de sombra | restaurante | Juegos para niños | Piscina | Chiringo | Kiosco | Cancha de voley | Cancha de futbol | Zumba ,balnearioegeon@hotmail.com,Baños | Caminos accesibles ,desde mediados de noviembre | hasta finales de marzo,,-38.577000,-58.737000,true
Palmeras del Este,Av. 2 Nº 4102,(02262) 15307990,IG: palmerasdelestebalneario,Unidades de sombra | Piscina accesible | Restaurante | Kiosco | Estacionamiento | Cancha de voley | Cancha de futbol | Wifi ,,Silla anfibia,desde mediados de noviembre | hasta finales de marzo,https://www.balnearioatlantico.com.ar/images/fulls/04.jpg,-38.578000,-58.738000,true
Poseidon ,Av. 2 Nº 4275,(02262) 421245 | 15569288 | 15568747,FB: balneario poseidon | IG: balnearioposeidon | X: balneario poseidon,Unidades de sombra | Estacionamiento | Piscina semi olimpica | Restaurante | Wifi | Colonia de vacaciones | Sala de guardado de objetos de playa | Aquagym | Yoga | Masajes - relajacion | Actividades para chicos | Espectaculos en vivo | Snack bar |,poseidonbalneariodemar@gmail.com,Sillas anfibias,desde mediados de noviembre | hasta finales de marzo,,,,true
Sahara,Av. 2 Nº 4851,(02262) 15500255,FB: sahararesto_ | IG: club_sahara,Unidades de sombra | Restaurante | Piscina | Estacionamiento | Snack bar | Kiosco | Wifi,saharaclubdeplaya@hotmail.com,Silla Anfibia ,desde mediados de noviembre | hasta finales de marzo,https://scontent.fnec1-1.fna.fbcdn.net/v/t39.30808-6/304900895_425686842886190_5329770461750789368_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=1d70fc&_nc_ohc=eplCuhpKPvUQ7kNvwE3muJo&_nc_oc=AdrmkUWQdDw-1cHMDAvQF_6s9td5AFx3a7RdmHj_6UtUULRWigvD8hpK_-jFrbvxOmw&_nc_zt=23&_nc_ht=scontent.fnec1-1.fna&_nc_gid=OsAUNf_LX0rQ682ekSPHWw&_nc_ss=7a389&oh=00_Af3IvqsG_wC3FvIG3MAz84XkivPUUCsliEzgRhUE8bqdAw&oe=69DDE272,-38.580000,-58.740000,true
Tarsis,Av. 2 Nº 4113,(02262) 15408336,FB: complejo tarsis | IG: complejotarsis,Unidades de sombra moviles | Kiosco | Chiringo | Cancha de voley | Cancha de futbol | Guarderia elementos de playa | Actividades deportivas | Duchas y baños semipúblicos | Colonias temáticas deportivas,complejotarsisnecochea@hotmail.com,,desde mediados de noviembre | hasta mediados de marzo,,,,true
Terrazas,Av. 2 Nº 3815,(02262) 15227556,FB: complejo terrazas | IG: balnearioterrazas,Carpas / Sombrillas | Estacionamiento | Piscina | Solarium y Terraza | Restaurante | Kiosco | Colonia para niños | Aquagym | Wifi | ,info@complejoterrazas.com.ar,,desde mediados de noviembre | hasta finales de marzo,,,,true
Trafwe,Av. 2 Nº 4355,(02262) 15319622,FB: balneario trafwe necochea | IG: balneario_trafwe,Unidades de sombra | Estacionamiento | Piscina | Restaurante | Kiosco |Sala de guardado para objetos de playa | Show | Wifi,balneariotrafwe@hotmail.com,,desde mediados de noviembre | hasta finales de marzo,,,,true
Tres Arroyos ,Av. 2 Nº 3755,(02262) 15481252,IG: balneariotresarroyos,Unidades de sombra | Deposito | Resto bar | Kiosco | Estacionamiento | wifi,correo@balneario3attoyos.com.ar,Baños,desde mediados de noviembre | hasta finales de marzo,,,,true
